name,email,country,region,phone,address,occupation,score,registration_number,married
Castor Chapman,magna.a@non.co.uk,Brazil,Paraná,(54) 0000-4737,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Medico,7,7,Sim
Lani Browning,auctor@egestashendrerit.net,Brazil,Paraíba,(37) 0000-6947,615-8223 In Ave,Coordenador de Enfermagem,6,10,Nao
Vaughan Everett,mi.lorem@sagittisplacerat.co.uk,Brazil,Bahia,(77) 0000-1554,Ap #513-7689 Nisi. Ave,Medico,5,3,Nao
Marshall Sanford,dolor@vivamus.co.uk,Brazil,Bahia,(46) 0000-8475,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Coordenador de Enfermagem,2,2,Nao
Pearl Hays,luctus.et.ultrices@fringillaest.com,Brazil,Minas Gerais,(64) 0000-2657,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Gerente de Enfermagem,1,7,Nao
Ivy Foley,eleifend.nec.malesuada@phasellus.co.uk,Brazil,Pernambuco,(67) 0000-6873,6663 Pellentesque Road,Nefrologista,5,8,Sim
Sylvia Whitney,vel@at.org,Brazil,Minas Gerais,(82) 0000-6626,Ap #530-2085 Justo. Avenue,Enfermeiro UTI,5,6,Nao
Uma Garrett,id@vestibulumlorem.edu,Brazil,Pernambuco,(67) 0000-8014,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Coordenador de Enfermagem,6,4,Nao
Dora Hanson,eget.varius@dapibusquam.co.uk,Brazil,Minas Gerais,(59) 0000-1543,5757 Fusce Avenue,Auxiliar de Enfermagem,5,3,Sim
Nora Cross,at@hendreritdonec.co.uk,Brazil,Ceará,(74) 0000-6021,8076 Egestas Street,Fisioterapeuta Geral,8,9,Nao
Hiroko Curtis,primis.in@sagittis.edu,Brazil,Goiás,(26) 0000-2814,Ap #285-4150 Eu Avenue,Enfermeiro Chefe,5,8,Nao
Henry English,aenean.eget@volutpatnulla.edu,Brazil,Goiás,(26) 0000-2518,Ap #824-8586 Nec St.,Nefrologista,10,6,Nao
Levi Castaneda,duis.sit@blanditconguein.com,Brazil,Santa Catarina,(31) 0000-4254,479-2332 Arcu. Av.,Farmaceutico,2,9,Nao
Lyle Sanders,consectetuer.euismod.est@nullaeu.edu,Brazil,Paraná,(39) 0000-6607,Ap #110-1466 Fringilla Rd.,Tecnico Enfermagem,9,4,Nao
Allen Mcfarland,felis.orci@nunc.edu,Brazil,Minas Gerais,(52) 0000-6367,Ap #814-1959 Faucibus St.,Farmaceutico,6,2,Sim
Hakeem Franco,curabitur.ut@nonenimcommodo.org,Brazil,Rio de Janeiro,(48) 0000-6032,5319 Tortor. Rd.,Coordenador de Enfermagem,1,7,Nao
Rama Garrett,malesuada.id.erat@donecvitae.net,Brazil,Minas Gerais,(25) 0000-5761,192-9770 Nisi St.,Gerente de Enfermagem,2,5,Nao
Phillip Barrera,velit@praesentluctus.com,Brazil,São Paulo,(47) 0000-1223,2166 Lorem. Ave,Enfermeiro Obstreta,1,9,Nao
Dora Morin,sem.ut@odioauctor.ca,Brazil,Goiás,(80) 0000-4842,630-5406 Egestas. Road,Enfermeiro UTI,4,4,Nao
Mohammad Wilkinson,sed@sedsapiennunc.ca,Brazil,Pará,(78) 0000-7156,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Auxiliar de Enfermagem,1,10,Nao
Noelle Dickson,nec.tempus@ametmassaquisque.org,Brazil,Paraíba,(83) 0000-6636,"Andrew Sargent,fringilla@risusquisque.ca,Brazil,Maranhão,(37) 0000-3752,554-4948 Dis Street,Enfermeiro Plantonista,5,10,Sim",Enfermeiro UTI,8,6,Nao
Alexander Carter,neque.morbi.quis@acmattissemper.net,Brazil,Rio de Janeiro,(28) 0000-8738,Ap #681-3351 Nonummy Av.,Tecnico Enfermagem,4,4,Nao
Rajah Harvey,magna.a.tortor@quis.edu,Brazil,Rio de Janeiro,(84) 0000-6665,686-377 Velit Ave,Medico,5,1,Sim
Camille Doyle,placerat.eget@sed.net,Brazil,São Paulo,(17) 0000-4663,859-5716 Dolor. Road,Tecnico Em Radiologia,4,10,Sim
Nathaniel Silva,velit.eu@est.org,Brazil,Pernambuco,(07) 0000-7608,Ap #773-9918 Sed Avenue,Enfermeiro Plantonista,10,5,Sim
Quintessa Lawson,aliquet.odio@amagna.com,Brazil,Ceará,(27) 0000-1769,948-9576 Risus St.,Farmaceutico,6,9,Nao
Kennedy Stevenson,natoque.penatibus@duis.org,Brazil,Rio Grande do Sul,(11) 0000-6238,Ap #522-3948 Blandit Av.,Tecnico Em Radiologia,1,9,Sim
Gay Hensley,elit@etmagnis.ca,Brazil,Pará,(03) 0000-3020,520 Convallis Street,Enfermeiro Obstreta,4,4,Sim
Sybill Turner,elit.curabitur@mattisintegereu.co.uk,Brazil,Paraíba,(16) 0000-5352,242-8348 Vestibulum Rd.,Tecnico Em Radiologia,4,7,Sim
Melissa Downs,a.ultricies@anunc.ca,Brazil,Rio Grande do Sul,(02) 0000-8983,108-5036 Mollis. St.,Gerente de Enfermagem,5,5,Sim
Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Coordenador de Enfermagem,5,1,Nao
Jennifer Wilson,dui.augue@ipsum.edu,Brazil,Minas Gerais,(55) 0000-0178,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Enfermeiro Chefe,4,9,Nao
Hoyt Barnett,donec.feugiat@facilisis.org,Brazil,Maranhão,(66) 0000-2764,Ap #192-4957 Ornare Road,Cirurgiao,10,1,Nao
Hayley Mcdonald,sed.dictum@infaucibus.org,Brazil,Minas Gerais,(37) 0000-5107,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Tecnico Enfermagem,2,6,Nao
Xenos Snyder,nibh.vulputate@ornarein.net,Brazil,Bahia,(86) 0000-9245,480-3775 Eget Rd.,Tecnico Em Radiologia,10,4,Nao
James Hendricks,etiam.ligula@eu.co.uk,Brazil,Paraná,(28) 0000-8092,415-7743 Nibh Street,Enfermeiro Plantonista,3,6,Nao
Risa Livingston,vestibulum.ut@quis.com,Brazil,Rio Grande do Sul,(33) 0000-6725,577-3124 Gravida. St.,Tecnico Em Radiologia,6,5,Sim
Uma Coleman,nunc.mauris@auctornuncnulla.edu,Brazil,Goiás,(75) 0000-5933,424-1220 Auctor Road,Medico,5,9,Nao
Lionel Hendricks,ac@aliquamerosturpis.co.uk,Brazil,Rio de Janeiro,(21) 0000-4748,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Coordenador de Enfermagem,1,7,Sim
Pearl O'brien,venenatis.lacus@uterat.com,Brazil,Santa Catarina,(86) 0000-8783,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Enfermeiro Chefe,10,10,Nao
Caesar Carson,erat.volutpat.nulla@metusvivamuseuismod.org,Brazil,Bahia,(77) 0000-1765,Ap #619-9129 Aenean Road,Gerente de Enfermagem,3,6,Sim
Oliver Berger,hendrerit.donec.porttitor@utquam.net,Brazil,Paraná,(65) 0000-5672,268-8309 Cursus Street,Enfermeiro UTI,10,4,Sim
Ivan Christensen,nunc.quis@etrutrum.edu,Brazil,Bahia,(04) 0000-7959,1979 Purus. St.,Gerente de Enfermagem,8,10,Nao
Marsden Barry,sagittis.placerat.cras@laoreet.net,Brazil,Pará,(55) 0000-1487,245-2389 Eleifend Avenue,Enfermeiro Plantonista,6,10,Nao
Steel Marsh,dui.nec@velsapienimperdiet.org,Brazil,Bahia,(26) 0000-3874,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Cirurgiao,7,10,Sim
Florence Ferrell,nam.porttitor.scelerisque@convallisligula.net,Brazil,Bahia,(45) 0000-8026,Ap #621-133 Vulputate St.,Medico,1,6,Nao
Sonia Dodson,tempor.augue@massamaurisvestibulum.org,Brazil,Rio de Janeiro,(26) 0000-3687,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Auxiliar de Enfermagem,3,1,Sim
Christine Waters,massa@ultrices.org,Brazil,Minas Gerais,(10) 0000-8614,Ap #292-4758 Justo Road,Enfermeiro UTI,5,7,Nao
Hiram Beasley,sapien.nunc@nibhdonecest.net,Brazil,Ceará,(63) 0000-3467,Ap #145-9402 Dolor St.,Nefrologista,6,10,Nao
Gary Richards,risus.nunc@dolorelitpellentesque.ca,Brazil,Paraná,(00) 0000-1855,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Farmaceutico,10,6,Nao
Harlan Kelley,risus.odio@massa.co.uk,Brazil,Maranhão,(49) 0000-5432,Ap #530-4966 Eget Road,Enfermeiro Chefe,5,2,Nao
Tara Stein,consequat@vulputate.co.uk,Brazil,Ceará,(15) 0000-7673,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Gerente de Enfermagem,4,8,Sim
Whitney Nolan,id.sapien.cras@at.net,Brazil,Rio de Janeiro,(31) 0000-4383,Ap #502-207 Tellus. St.,Gerente de Enfermagem,1,7,Sim
Alisa Nixon,nulla.in@vulputaterisus.co.uk,Brazil,Paraíba,(14) 0000-1927,368-4361 Imperdiet St.,Auxiliar de Enfermagem,9,1,Nao
Cara Mcmahon,rhoncus.proin@dui.co.uk,Brazil,São Paulo,(26) 0000-8178,551-2493 Egestas Rd.,Medico,4,8,Nao
Trevor Lane,nunc.ut@adipiscingnon.co.uk,Brazil,Minas Gerais,(67) 0000-7908,5784 Sapien. Ave,Enfermeiro Plantonista,2,5,Sim
Lavinia Frost,mauris.erat@nequesed.edu,Brazil,Paraíba,(31) 0000-7752,4053 Interdum St.,Enfermeiro Chefe,7,5,Nao
Duncan Fuentes,dictum.magna@donecsollicitudinadipiscing.edu,Brazil,Ceará,(25) 0000-1377,Ap #674-5432 Non St.,Gerente de Enfermagem,5,8,Sim
Zachery Hensley,mauris.morbi.non@fringilla.edu,Brazil,Pernambuco,(80) 0000-0142,2023 Nibh Ave,Farmaceutico,8,2,Nao
Channing Holman,eleifend.vitae@scelerisquelorem.edu,Brazil,Rio Grande do Sul,(93) 0000-9146,252-2275 Ullamcorper Avenue,Farmaceutico,9,2,Sim
Jacob Alston,sem.mollis@nullaanteiaculis.net,Brazil,Ceará,(39) 0000-2944,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Nefrologista,2,10,Sim
Jolene Nixon,aliquet.lobortis.nisi@libero.com,Brazil,Pernambuco,(85) 0000-9645,Ap #328-5144 Posuere Ave,Coordenador de Enfermagem,2,4,Nao
Sage O'donnell,in.consequat@lectus.ca,Brazil,Pará,(94) 0000-3958,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Tecnico Em Radiologia,9,8,Sim
Merritt Johnson,eros.proin.ultrices@adipiscinglobortis.com,Brazil,Paraná,(30) 0000-8576,569-6644 Ut Avenue,Nefrologista,6,8,Sim
Fay Reilly,ac@consectetuermauris.edu,Brazil,Rio Grande do Sul,(43) 0000-7267,667-2233 Elit. St.,Nefrologista,1,4,Nao
Cecilia Mclean,non.magna@eleifendcrassed.net,Brazil,Paraná,(43) 0000-1101,Ap #829-442 Nisi. Av.,Medico,2,1,Nao
Kasper Juarez,mollis@pulvinararcu.org,Brazil,Pernambuco,(69) 0000-4212,9842 Lobortis Street,Enfermeiro UTI,9,1,Nao
Noel Morin,ut.mi@disparturientmontes.co.uk,Brazil,Paraíba,(78) 0000-9756,Ap #720-7846 Imperdiet Rd.,Fisioterapeuta Geral,9,7,Nao
Jessica Berry,sapien.imperdiet@accumsanneque.net,Brazil,Goiás,(31) 0000-6987,Ap #507-9641 Et Avenue,Cirurgiao,7,5,Sim
Charles Nicholson,eu.odio@euismodetcommodo.com,Brazil,São Paulo,(83) 0000-4181,"Finn David,lectus.pede@nasceturridiculus.co.uk,Brazil,Paraná,(72) 0000-5869,P.O. Box 704, 904 Mattis. Rd.,Coordenador de Enfermagem,5,1,Nao",Nefrologista,3,10,Sim
Francis Delacruz,nunc.commodo@etiamligulatortor.edu,Brazil,Goiás,(46) 0000-5351,Ap #703-6356 At Road,Gerente de Enfermagem,4,10,Sim
Jane Goff,nam.interdum.enim@vitaesemper.net,Brazil,Bahia,(71) 0000-4415,3145 Risus Rd.,Farmaceutico,9,10,Nao
Mollie Fischer,volutpat.ornare@pretium.edu,Brazil,Ceará,(57) 0000-3851,Ap #420-4828 Integer Rd.,Cirurgiao,5,5,Sim
Jenette Langley,risus.donec.egestas@donecestnunc.org,Brazil,Pernambuco,(38) 0000-5341,167-3189 A Street,Farmaceutico,10,2,Sim
Diana Crawford,lorem@enimsed.com,Brazil,Ceará,(13) 0000-4811,Ap #437-3537 Est. Street,Enfermeiro Plantonista,10,4,Nao
Upton Skinner,maecenas@facilisisnonbibendum.edu,Brazil,Goiás,(31) 0000-6196,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Gerente de Enfermagem,5,7,Nao
Nehru Mcbride,sit.amet.luctus@ipsumprimis.co.uk,Brazil,São Paulo,(44) 0000-5843,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Gerente de Enfermagem,7,1,Nao
Phoebe Ford,lectus.ante.dictum@auctorveliteget.net,Brazil,Paraná,(82) 0000-3784,Ap #160-7763 Nunc Av.,Fisioterapeuta Geral,2,4,Nao
Nevada Ray,arcu.iaculis.enim@condimentumeget.com,Brazil,Pará,(33) 0000-2927,8048 At St.,Cirurgiao,4,8,Sim
Keely Finley,duis@quisaccumsanconvallis.net,Brazil,Goiás,(96) 0000-4862,Ap #642-4734 Felis. Av.,Cirurgiao,8,3,Sim
Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim
Pamela Noble,fusce.aliquam@eu.co.uk,Brazil,Paraná,(76) 0000-9423,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Tecnico Enfermagem,2,2,Sim
August Hines,diam.pellentesque@acfacilisis.org,Brazil,Santa Catarina,(94) 0000-4358,308-3389 Non Av.,Enfermeiro Plantonista,6,4,Nao
Summer White,cras.dolor@esttempor.edu,Brazil,Bahia,(71) 0000-8186,3082 Ipsum. Street,Coordenador de Enfermagem,6,7,Sim
Michelle Sullivan,adipiscing.elit@egetipsum.ca,Brazil,Pará,(01) 0000-4841,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Cirurgiao,7,3,Nao
Hayfa Rosario,mauris@euismod.net,Brazil,Rio de Janeiro,(22) 0000-3842,577-5132 Purus. Rd.,Cirurgiao,2,1,Nao
Dorothy Bradley,metus@tellussuspendisse.co.uk,Brazil,Goiás,(46) 0000-2420,905-5090 Orci. Road,Enfermeiro Plantonista,5,3,Sim
Ryder Buckner,rutrum@duismi.edu,Brazil,Paraíba,(50) 0000-8174,8726 Malesuada Ave,Coordenador de Enfermagem,4,8,Nao
Kathleen Pierce,tellus.nunc.lectus@antenunc.net,Brazil,Pará,(13) 0000-3535,237-4351 Gravida. Road,Enfermeiro Plantonista,1,6,Sim
Dante Wilkinson,facilisis.magna@inconsectetuer.ca,Brazil,Rio Grande do Sul,(27) 0000-8338,Ap #312-7580 Sed Street,Enfermeiro Plantonista,3,3,Nao
Charlotte Huffman,gravida.aliquam@mollis.net,Brazil,Pernambuco,(17) 0000-6269,622-5792 Auctor Road,Enfermeiro UTI,3,9,Nao
Alisa Russo,cras.vehicula@donecnibhenim.net,Brazil,Ceará,(38) 0000-1016,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Farmaceutico,5,7,Nao
Stone Lane,risus@ante.net,Brazil,Paraná,(97) 0000-8880,Ap #550-5978 Integer Street,Farmaceutico,6,10,Nao
Lenore Fulton,blandit@velit.ca,Brazil,Bahia,(55) 0000-2655,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Gerente de Enfermagem,4,8,Sim
Hunter Skinner,tellus.faucibus@pellentesquetincidunt.com,Brazil,Minas Gerais,(21) 0000-5189,386-691 Integer Avenue,Enfermeiro UTI,8,7,Nao
Dale Coleman,nisi.magna@magna.org,Brazil,Bahia,(64) 0000-8361,777-1811 Ultrices Avenue,Enfermeiro Obstreta,9,7,Sim
Sebastian Russo,egestas.aliquam@quispedesuspendisse.edu,Brazil,Minas Gerais,(56) 0000-9203,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Fisioterapeuta Geral,1,9,Nao
Madeline Hester,et@gravida.com,Brazil,Rio Grande do Sul,(46) 0000-5854,Ap #260-2872 Ultricies Rd.,Farmaceutico,10,2,Nao
Brenden Keith,accumsan.interdum@temporloremeget.net,Brazil,Minas Gerais,(25) 0000-5613,851-2891 Elementum Avenue,Enfermeiro UTI,1,10,Sim
Desiree Hood,nisi@ridiculusmus.com,Brazil,Santa Catarina,(87) 0000-6158,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Medico,5,3,Sim
Ralph Johnston,ultrices.sit@metusvitae.org,Brazil,Paraná,(74) 0000-6757,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Medico,9,3,Sim
Georgia Crawford,non.justo@cursus.net,Brazil,Paraíba,(54) 0000-4545,485-5916 Ut Rd.,Tecnico Enfermagem,7,3,Sim
Keegan Huber,nullam.lobortis@turpisaliquam.net,Brazil,Rio de Janeiro,(90) 0000-1717,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Enfermeiro Plantonista,6,6,Sim
Melvin Wilkinson,nisl@ategestas.ca,Brazil,Bahia,(65) 0000-9082,648-3784 Amet Rd.,Enfermeiro Chefe,10,9,Nao
Jason Camacho,parturient.montes@leo.co.uk,Brazil,Rio de Janeiro,(15) 0000-3722,146-8850 Proin Rd.,Enfermeiro Chefe,10,3,Nao
Quentin Maxwell,neque@iaculis.org,Brazil,Paraíba,(16) 0000-2851,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Fisioterapeuta Geral,2,2,Sim
Jaime Fox,mi.enim.condimentum@vellectus.net,Brazil,Bahia,(83) 0000-0131,593-9532 Odio. Street,Nefrologista,4,6,Sim
Reece Wilcox,ullamcorper.nisl@sapiencrasdolor.net,Brazil,São Paulo,(84) 0000-8416,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Farmaceutico,7,5,Nao
Chase Cox,quis.diam@id.org,Brazil,Maranhão,(51) 0000-5277,Ap #938-2893 Ut Av.,Coordenador de Enfermagem,9,7,Nao
Lucius Tyler,dui.semper@duiscursus.edu,Brazil,Goiás,(85) 0000-4781,547-6879 Proin Street,Enfermeiro Plantonista,4,8,Nao
Hyacinth Lang,ornare.fusce.mollis@non.com,Brazil,Paraná,(45) 0000-1565,434-7632 Volutpat Street,Cirurgiao,1,9,Sim
Penelope Meadows,fermentum@nisi.net,Brazil,Bahia,(47) 0000-6469,Ap #936-5116 Magna Avenue,Coordenador de Enfermagem,6,7,Sim
Nathaniel Dale,eget.lacus@egetmagnasuspendisse.edu,Brazil,Rio de Janeiro,(29) 0000-5594,4204 Ipsum Rd.,Nefrologista,5,7,Sim
Audrey Dale,dui@convallis.net,Brazil,Bahia,(11) 0000-7678,724-8512 Quis Street,Nefrologista,1,8,Nao
Igor Day,magna.malesuada@ipsumsodales.co.uk,Brazil,Paraná,(79) 0000-6564,560-8358 Sit Rd.,Fisioterapeuta Geral,6,4,Nao
Kaye Figueroa,turpis.nec.mauris@afacilisis.net,Brazil,Paraná,(93) 0000-4721,Ap #467-4368 Ligula. Street,Auxiliar de Enfermagem,4,9,Sim
Bianca Boone,dictum@diamat.ca,Brazil,Santa Catarina,(11) 0000-7277,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Tecnico Em Radiologia,6,3,Nao
Gisela Trevino,sem@elitnulla.co.uk,Brazil,Rio Grande do Sul,(19) 0000-8964,Ap #232-8163 Quisque Road,Tecnico Enfermagem,2,6,Sim
Scott England,dolor.tempus@luctusfelispurus.com,Brazil,Pernambuco,(31) 0000-6987,114-3363 Nullam Road,Coordenador de Enfermagem,4,6,Nao
Adena Figueroa,phasellus.fermentum@tristiquealiquet.org,Brazil,Rio Grande do Sul,(52) 0000-5613,828-6351 Luctus Rd.,Coordenador de Enfermagem,10,2,Sim
Trevor Graves,elementum.purus@sodaleselit.edu,Brazil,Bahia,(11) 0000-6932,Ap #164-7968 Mi Av.,Enfermeiro Plantonista,4,10,Sim
Leila Oneal,vehicula.et.rutrum@estnunclaoreet.ca,Brazil,Maranhão,(61) 0000-4894,465-3163 Nisi. St.,Tecnico Em Radiologia,1,8,Sim
Wayne Walsh,vivamus.euismod@lectusconvallis.net,Brazil,Minas Gerais,(12) 0000-6882,500-1745 Et St.,Farmaceutico,1,5,Sim
Fritz Ward,mauris@molestietellus.edu,Brazil,Bahia,(31) 0000-6130,"Camden Elliott,vel.faucibus@interdumlibero.ca,Brazil,Minas Gerais,(26) 0000-8431,600-6437 Etiam Ave,Nefrologista,3,6,Sim",Enfermeiro Chefe,4,9,Sim
Alice Wells,adipiscing.non@posuere.co.uk,Brazil,Bahia,(02) 0000-3030,5138 Aliquam Rd.,Tecnico Em Radiologia,6,5,Nao
Larissa Roy,mauris@leocras.edu,Brazil,Paraná,(57) 0000-5155,Ap #783-7153 Convallis Street,Tecnico Em Radiologia,7,2,Nao
Thane Wilkerson,dictum.proin@pharetranam.co.uk,Brazil,Goiás,(45) 0000-2522,Ap #946-4356 Integer Road,Gerente de Enfermagem,2,8,Nao
Norman Fuller,arcu@maurissuspendisse.co.uk,Brazil,Goiás,(15) 0000-5822,129-8788 Nunc St.,Cirurgiao,6,4,Sim
Nathan Acosta,mi@sollicitudin.co.uk,Brazil,Minas Gerais,(35) 0000-3557,239-8639 Nascetur Rd.,Coordenador de Enfermagem,10,6,Sim
Hayden Curry,cras.pellentesque@diam.co.uk,Brazil,Paraná,(14) 0000-6526,1561 Tristique Street,Nefrologista,5,7,Nao
Candice Yates,massa.integer@tinciduntnuncac.ca,Brazil,Minas Gerais,(49) 0000-7131,651-3908 Lacus. Rd.,Enfermeiro Obstreta,9,10,Sim
Orson Dudley,amet.nulla@elit.com,Brazil,Pará,(19) 0000-8655,217-5753 Sit St.,Farmaceutico,1,9,Nao
Warren Hopkins,fermentum.fermentum.arcu@natoque.net,Brazil,São Paulo,(68) 0000-4609,"Candice Yates,massa.integer@tinciduntnuncac.ca,Brazil,Minas Gerais,(49) 0000-7131,651-3908 Lacus. Rd.,Enfermeiro Obstreta,9,10,Sim",Farmaceutico,2,9,Sim
Lysandra Crosby,fusce@non.com,Brazil,Pará,(97) 0000-1207,466-424 Fusce Ave,Enfermeiro Obstreta,1,3,Sim
Tad Tyson,ipsum.cursus@enim.com,Brazil,Bahia,(66) 0000-8242,930-4724 Eu Road,Coordenador de Enfermagem,1,3,Sim
Ignatius Bates,mauris.non.dui@egetnisidictum.com,Brazil,Maranhão,(26) 0000-1125,132-3963 Vestibulum. St.,Auxiliar de Enfermagem,9,1,Nao
Steven Simpson,id.sapien@atpede.co.uk,Brazil,Pernambuco,(84) 0000-5738,770-1701 Quisque Rd.,Fisioterapeuta Geral,1,5,Sim
Justine Russo,commodo.ipsum@pedecras.co.uk,Brazil,Rio Grande do Sul,(34) 0000-3722,433 Vestibulum Rd.,Enfermeiro Obstreta,3,8,Sim
Ronan Burnett,sed.leo@antedictum.co.uk,Brazil,Bahia,(85) 0000-4252,905-2697 Ipsum. St.,Enfermeiro UTI,6,6,Sim
Anne Huffman,morbi.metus@loremluctusut.edu,Brazil,Pará,(94) 0000-4334,822-9902 A St.,Cirurgiao,8,8,Nao
Orlando Navarro,eu@neceuismod.ca,Brazil,Pará,(11) 0000-1815,3217 Gravida Rd.,Tecnico Em Radiologia,3,1,Nao
Zahir Preston,nunc.sed@idblanditat.org,Brazil,Santa Catarina,(34) 0000-6858,6109 Sociis Rd.,Enfermeiro Chefe,6,7,Nao
Emi Pierce,magna@nibhdolornonummy.ca,Brazil,Goiás,(33) 0000-3136,823-9855 Faucibus Street,Tecnico Enfermagem,6,8,Sim
Rhonda Hayden,lacus.mauris@quisquelibero.net,Brazil,Ceará,(88) 0000-2443,349-1887 Scelerisque Avenue,Fisioterapeuta Geral,1,4,Sim
Denton Randall,ornare.in@sapiennunc.com,Brazil,Pernambuco,(68) 0000-6375,6001 Et St.,Fisioterapeuta Geral,8,9,Sim
Diana Gilliam,ornare.elit.elit@sedpharetrafelis.net,Brazil,Maranhão,(27) 0000-6423,Ap #807-7781 Curabitur Avenue,Enfermeiro Chefe,8,8,Nao
Cadman Vaughan,enim.sed@nibhaliquamornare.ca,Brazil,Goiás,(84) 0000-8973,738-1296 Convallis St.,Enfermeiro Obstreta,5,8,Nao
Clarke Mccormick,cum@idantenunc.net,Brazil,Santa Catarina,(54) 0000-2798,190-1960 Etiam St.,Farmaceutico,9,5,Nao
